รหัสโครงการ,ชื่อโครงการ(Draft),งบประมาณโครงการ,เลขที่สัญญา,วันที่เซ็นสัญญา,วันที่เริ่มสัญญา,วันที่สิ้นสุดสัญญา,วันที่สิ้นสุดประกัน,สถานะโครงการ
NP68-0004,ชุดฝึกปฏิบัติการออกแบบระบบเครือข่าย (วท.ร้อยเอ็ด),"$300,000.00 ",PO2025-00026,24/04/2025 0:00,24/04/2025 0:00,22/06/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SJ67-0014,"HW_ระบบรักษาความปลอดภัยชั้น 9,10 และชั้น 11 อาคารสำนักงานปลัดกระทรวงพาณิชย์","$1,262,600.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0023,HW DR-site สอน (งบกองทุน),$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0052,งานจ้างเหมาจัดหาระบบเครือข่าย พร้อมระบบเก็บ Log และเครือข่ายไร้สายภายในสำนักงาน สำหรับให้บริการแก่ สำนักงานกองทุนฟื้นฟูและพัฒนาเกษตรกร,"$940,530.00 ",ใบสั่งจ้างเลขที่ 3600006762,11/12/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0015,ครุภัณฑ์คอมพิวเตอร์ 68,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0017,Dev ระบบออกใบอนุญาตธุรกิจแร่ กพร,"$5,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0101,HW ปรับปรุงเครื่องแม่ข่าย สอน,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP67-0041,ระบบรายงานผู้เข้าร่วมประชุม,"$1,710,000.00 ",Oct-68,28/01/2025 0:00,29/01/2025 0:00,28/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP68-0007,ต่ออายุ FortiGate 100F,"$99,510.00 ",ใบสั่งซื้อเลขที่ 23/2568,04/11/2024 0:00,05/11/2024 0:00,04/01/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0059,HW-TV LED เมืองทอง-เพชรบุรี,"$1,016,500.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0020,HW-ป้องกันระบบกระแสไฟฟ้า,"$490,000.00 ",ใบสั่งจ้างเลขที่ 14/2568,09/04/2025 0:00,10/04/2025 0:00,21/04/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0039,ครุภัณฑ์ โครงการสำรวจสถานภาพบ่อน้ำบาดาล สำนักสำรวจ (งบกองทุน),$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0037,งานจัดจ้างอุปกรณ์ Pocket Wifi เพื่อให้บริการแก่สำนักเลขาธิการคณะรัฐมนตรี (สลค.) ,"$39,429.50 ",ใบสั่งจ้างเลขที่ 3600006782,01/11/2024 0:00,01/10/2024 0:00,30/09/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP68-0032,เดินสาย 3 เส้น,"$14,445.00 ",อว.64.12/0830,17/02/2025 0:00,18/03/2025 0:00,18/03/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SJ67-0062,HW-กล้องวงจรปิด หอจดหมายเหตุ รi9,"$399,800.00 ",,,,,,นำเสนอ/ติดตาม
DT68-0005,งานประชุมภายในบริษัท,$0.00 ,,,,,,ได้งาน
AR68-0036,Dev กรอ 2,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP68-0031,MA ห้องประชุมชั้น 2 สช,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP68-0096,SSO บส,"$480,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0053,จ้างพัฒนาระบบคลังข้อสอบดิจิทัล  สทศ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR68-0021,AR68-0021_Antivirut 69 กสอ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0108,HW print+TV CDG,"$205,800.00 ",ใบสั่งซื้อเลขที่ บล24/2567,18/11/2024 0:00,28/09/2024 0:00,26/12/2024 0:00,,จบงาน/ช่วงรับประกัน
AR67-0040,HW ห้องประชุม ปตท รังสิต,"$670,000.00 ",,,,,,นำเสนอ/ติดตาม
CC67-0085,โครงการซื้อคอมพิวเตอร์ 343 เครื่อง,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0074,HW_ซ่อมปร้นเตอร์ กสอ,$0.00 ,,,,,,นำเสนอ/ติดตาม
TP67-0018,ครุภัณฑ์คอมพิวเตอร์งบ68,"$1,100,000.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0009,HW-ระบบเครือข่ายสารสนเทศและระบบกระแสไฟฟ้า งบปี 69,"$60,000,000.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0076,วัสดุคอม 3 รายการ,"$8,560.00 ",ใบสั่งซื้อเลขที่ พอ.137/2567 ,07/08/2024 0:00,08/08/2024 0:00,09/08/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0049,ตรวจสอบข้อมูลเกษตรกร,"$498,300.00 ",ศสส.จ68/67,21/06/2024 0:00,22/06/2024 0:00,21/07/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0102,ย้ายฉากรับภาพ 200 นิ้ว จากอาคาร 4 ชั้น 2 ไปติดตั้งที่ห้องประชุม 511 อาคาร 5 ชั้น 1,"$17,120.00 ",ใบสั่งจ้างเลขที่ 302/2567,23/09/2024 0:00,24/09/2024 0:00,23/10/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ68-0019,จัดทำข้อมูลแปลงการทดสอบ,"$500,000.00 ",,,,,,รอเซ็นสัญญา
SA68-0013,HW-ภาระงานประจำ-1 งบปี 69,"$1,000,000.00 ",,,,,,นำเสนอ/ติดตาม
TP68-0010,Backup site ,"$4,500,000.00 ",,,,,,นำเสนอ/ติดตาม
SJ67-0006,HW_เช่าเครื่องคอมพิวเตอร์ All in One 400 เครือ่ง  ระยะ 3 ปี,"$12,000,000.00 ",,,,,,นำเสนอ/ติดตาม
SA68-0023,HW-AP for อาคารสถาปัตย์ นครปฐม,"$415,481.00 ",ใบสั่งซื้อเลขที่ 3260000102,28/05/2025 0:00,29/05/2025 0:00,28/06/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0024,เช่ากล้องวงจรปิดปีที่2,"$499,989.60 ",ใบสั่งเช่าเลขที่ ศสส.ช2/68,24/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0058,เครื่องเสียงห้องเรียน,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA68-0001,DEV-Credit Bank OVEC  งบปี 69,"$95,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AP68-0009,Air,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR68-0017,โครงการจ้างบริการบำรุงรักษาระบบให้บริการยื่นคำร้องขอใบอนุญาตและหนังสือรับรองสำหรับการส่งออกและนำเข้าน้ำตาลทราย จำนวน 1 โครงการ ,"$799,000.00 ",กยผ.06/03/2568,24/02/2025 0:00,25/02/2025 0:00,25/02/2026 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SJ67-0050,MA_จ้างเหมาะปรับปรุงและบำรุงรักษาระบบฐานข้อมูลเอกสารโบราณ,"$498,800.00 ",45/2568,25/11/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NT68-0008,งานอื่นๆ,$0.00 ,,,,,,ได้งาน
AP68-0091,ปรับปรุง Web DFT,"$480,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0063,HW ครุภัณฑ์คอมพิวเตอร์68 อคส,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP67-0017,ต่ออายุ SSL TIJ,$0.00 ,,,,,,นำเสนอ/ติดตาม
TP67-0095,เปลี่ยนอะไหล่อุปกรณ์กล้องวงจรปิด,"$12,305.00 ",3116002491,06/12/2024 0:00,06/12/2024 0:00,06/12/2025 0:00,19/12/2025 0:00,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0006,MA Network 68,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA68-0042,ติดตั้งสายสัญญาณคอมพิวเตอร์แบบ Fiber Optic แบบที่ 2 จำนวน 1 งาน,"$238,824.00 ",ใบสั่งจ้างเลขที่ 16/2568,20/06/2025 0:00,21/06/2025 0:00,20/08/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0030,ปรับปรุงข้อมูลคำแนะนำการผลิดตข้าว,$0.00 ,,,,,,นำเสนอ/ติดตาม
PJ67-0057,จ้างบำรุงรักษาและปรับปรุงประสิทธิภาพคอมพิวเตอร์ จำนวน 14 เครื่อง โครงการเพิ่มศักยภาพการเติมน้ำใต้ดินระดับตื้น ประจำปีงบประมาณ พ.ศ.2567,"$76,237.50 ",ใบสั่งจ้างเลขที่ 592/2567,22/08/2024 0:00,23/08/2024 0:00,21/09/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0083,จอ LED outdoor,"$3,542,000.00 ",สัญญาเลขที่ ศสส.สซ1/68,26/11/2024 0:00,26/11/2024 0:00,22/03/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
