รหัสโครงการ,ชื่อโครงการ(Draft),งบประมาณโครงการ,เลขที่สัญญา,วันที่เซ็นสัญญา,วันที่เริ่มสัญญา,วันที่สิ้นสุดสัญญา,วันที่สิ้นสุดประกัน,สถานะโครงการ
CC67-0080,สัญญาจ้างเหมาบริการดูแลศูนย์ปฏิบัติการระบบเครือข่ายและการรักษาความมั่นคงไซเบอร์ ปี 2568,"$6,095,000.00 ",ศสท.สจ.1/2568,05/11/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0068,MA Network / PC สคบ 68,"$1,900,000.00 ",,,,,,นำเสนอ/ติดตาม
SA67-0063,HW-UTP อาคารอักษร 2,"$29,425.00 ",3186000904,03/12/2024 0:00,03/12/2024 0:00,04/01/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP68-0080,จ้างเหมานำเข้าข้อมูลเอกสารจดหมายเหตุลงในระบบจัดเก็บเอกสารจดหมายเหตุ,"$1,145,750.00 ",79/2568,26/02/2025 0:00,27/02/2025 0:00,25/08/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
DT68-0009,MIS,$0.00 ,,,,,,ได้งาน
AR67-0027,HW ระบบกำกับโรงงานอุตสาหกรรมเชิงรุก กรอ,"$21,345,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0019,Switch กสอ 69,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA68-0010,HW-การเรียนรู้อาชีวศึกษาทุกที่ทุกเวลา งบปี69,"$90,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0019,โครงการปรับปรุงระบบบริหารงานภานใน กพร,"$3,500,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0051,HW WAF กสอ (ของบเหลือจ่าย),$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0012,ระบบฐานข้อมูลเพื่อการบริหารจัดการน้ำตาลทรายในสินค้าส่งออก ระยะ 2,"$6,430,000.00 ",กอต.06/04/2568,27/01/2025 0:00,28/01/2025 0:00,23/11/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA68-0004,DEV-บริการเอกสารสำคัญทางการศึกษาแบบดิจิทัล (Digital Transcript) งบปี 69,"$70,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0051,MA ระบบห้องประชุมวินิจฉัย 69 ศาล,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR68-0054,MA Internet 69 ศาล,"$2,800,000.00 ",,,,,,นำเสนอ/ติดตาม
AR68-0068,Rent เช่าเครือข่าย สผ 68,"$2,400,000.00 ",,,,,,นำเสนอ/ติดตาม
AR67-0078,HW Server พี่นัน,$0.00 ,,,,,,นำเสนอ/ติดตาม
PJ67-0061,ปรับปรุงข้อมูลโครงสร้างและมาตรฐานข้อมูลบุคลากรในการลงเวลาปฏิบัติงาน,"$198,700.00 ",ศสส.จ73/67,17/07/2024 0:00,18/07/2024 0:00,16/08/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0020,AR67-0020_HW ครุภัณฑ์คอมพิวเตอร์ 68 กสอ,$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0034,จัดจ้างใช้บริการอินเทอร์เน็ตความเร็วสูง สำหรับให้บริการแก่ สำนักเลขาธิการนายกรัฐมนตรี (สลน.) ระยะเวลาตั้งแต่วันที่ 1 ตุลาคม 2567 ถึงวันที่ 30 กันยายน 2568,"$77,040.00 ",ใบสั่งจ้างเลขที่ 3600006732,01/10/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SJ67-0063,MA_จ้างบำรุงรักษาระบบเทคโนโลยีสารสนเทศอาหารสัตว์ ตำบลบางกะดี อำเภอเมืองปทุมธานี จังหวัดปทุมธานี (ระยะที่ 1) ปีงบประมาณ 2568  ,"$218,100.00 ",สอส.10/2568,29/10/2024 0:00,01/11/2024 0:00,31/03/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
DT68-0003,งานอบรม/สัมนาภายนอกบริษัทฯ,$0.00 ,,,,,,ได้งาน
PJ67-0066,ครุภัณฑ์คอม 2 รายการ,"$110,531.40 ",ใบสั่งซื้อเลขที่ พอ.175/2567,02/09/2024 0:00,03/09/2024 0:00,03/10/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA68-0006,MA Dev-ระบบงานทะเบียนวัดผลนักศึกษา ระดับปริญญาตรีสาย งบปี 69,"$85,000,000.00 ",,,,,,นำเสนอ/ติดตาม
AP68-0033,Network อาชีวะ ปี68 44M,"$44,000,000.00 ",,,,,,นำเสนอ/ติดตาม
PJ68-0017,การจ้างเหมาถ่ายทอดองค์ความรู้เทคโนโลยีการผลิตข้าวภายใต้การเปลี่ยนแปลงสภาพภูมิอากาศในรูปแบบสื่อวีดิทัศน์  ,"$149,300.00 ",ใบสั่งจ้างเลขที่ ศสส.จ40/68,07/03/2025 0:00,07/03/2025 0:00,14/03/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0015,MA ระบบคอมพิวเตอร์และระบบสารสนเทศ 68,"$7,500,000.00 ",,,,,,งานช่วย
NT68-0009,MIS,$0.00 ,,,,,,ได้งาน
SA67-0062,HW-Multi Function,"$10,000.00 ",ใบสั่งซื้อเลขที่ 24/68,29/11/2024 0:00,30/11/2024 0:00,15/01/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0010,บำรุงรักษาระบบงานการให้บริการ ปีงบประมาณ ๒๕๖๗,$0.00 ,,,,,,งานช่วย
DT68-0002,ขายของให้พนักงาน,$0.00 ,,,,,,ได้งาน
SA68-0033,HW-ป้องกันแผงวงจรอิเล็กทรอนิกส์ ,"$498,200.00 ",ใบสั่งจ้างเลขที่ 15/2568,11/04/2025 0:00,11/04/2025 0:00,23/04/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0064,HW-Upgrade HDD Server,"$160,500.00 ",680169,04/02/2025 0:00,05/02/2025 0:00,16/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0006,MA_Warranty APC Smart UPS RT 10000VA  กลุ่มบริษัท ไทยอีสเทิร์น  ต้นปี 67,"$146,590.00 ",POD2402-0112,12/02/2024 0:00,05/02/2024 0:00,04/02/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NP67-0005,เช่า Zoom 1 ปี,"$99,986.15 ",ศสส.ช3/68,29/10/2024 0:00,01/11/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0058,HW-MA Network 3 ปี ไฟฟ้าราชบุรี,"$2,536,542.00 ",PO.680086,17/01/2025 0:00,01/01/2025 0:00,31/12/2027 0:00,30/12/1930 0:00,ได้งาน/เซ็นสัญญาแล้ว
SA67-0021,HW-Wiring & AP กองกิจการ,"$193,295.50 ",3110002573,15/05/2024 0:00,16/05/2024 0:00,16/07/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0017,Data warehouse,$0.00 ,,,,,,นำเสนอ/ติดตาม
NT68-0003,งานอบรม/สัมนาภายนอกบริษัทฯ,$0.00 ,,,,,,ได้งาน
CC67-0087,สัญญาซื้อขายโครงการจัดหาระบบเฝ้าระวังและรับมือภัยคุกคามความปลอดภัยคอมพิวเตอร์ (SOC) ปีงบประมาณ พ.ศ. 2568,"$7,900,000.00 ",145/2568,18/02/2025 0:00,19/02/2025 0:00,19/07/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA68-0040,HW-UTP CAt 6,"$80,000.00 ",,,,,,นำเสนอ/ติดตาม
PJ67-0035,ข้อมูลเกษตรกรเพื่อสนับสนุนการตัดสินใจในการผลิตข้าว,"$298,700.00 ",ใบสั่งจ้างเลขที่ ศสส.จ33/67,06/03/2024 0:00,07/03/2024 0:00,05/04/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0039,JOB DIPROM กสอ,$0.00 ,,,,,,นำเสนอ/ติดตาม
AP67-0056,Canva Team,$0.00 ,,,,,,นำเสนอ/ติดตาม
CC67-0111,งานจ้างทำเสื้อช่างพร้อมโลโก้กรมชลประทานสำหนับการประชุมประชาสัมพันธ์โครงการนอกสถานที่ ,"$19,260.00 ",เลขที่ใบสั่งจ้าง เอ็นที กบธ./283,21/02/2024 0:00,22/02/2024 0:00,15/03/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NT68-0011,งาน Research,$0.00 ,,,,,,ได้งาน
PJ67-0004,ครุภัณฑ์คอมพิวเตอร์ 68,"$14,541,000.00 ",69/2568,24/01/2025 0:00,25/01/2025 0:00,24/04/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA67-0066,HW-Config Network +Migrate VM,"$197,950.00 ",680169,04/02/2025 0:00,05/02/2025 0:00,16/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0099,ซ่อมอุปกรณ์สำหรับจัดเก็บข้อมูล,"$11,800.00 ",ใบสั่งจ้าเงลขที่ 275/2567,11/09/2024 0:00,12/09/2024 0:00,11/10/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0060,กล้องไชยยศ 3,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR67-0014,AR67-0014_HW คอมพิวเตอร์ออกแบบ กสอ,"$2,070,000.00 ",,,,,,นำเสนอ/ติดตาม
CC67-0108,จ้างเหมาบริการระบบประชุมออนไลน์ผ่านเครือข่ายอินเตอร์เน็ตปี 2568 ,"$485,780.00 ",ใบสั่งจ้างเลขที่ ศสท.จ.14/2568,17/03/2025 0:00,01/04/2025 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0035, Adobe Creative Cloud 67,"$49,220.00 ",ใบสั่งเช่าเลขที่ 118/2567,04/03/2024 0:00,08/03/2024 0:00,08/03/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
SA68-0019,MA_Warranty APC Smart UPS RT 10000VA  กลุ่มบริษัท ไทยอีสเทิร์น  ต้นปี 68,"$165,850.00 ",POD2501-0221,24/01/2025 0:00,24/01/2025 0:00,02/02/2026 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0009,Dev_NSW กพร 68,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA67-0014,HW-HDD External,"$146,055.00 ",ใบสั่งซื้อเลขที่ 3260000099,02/04/2025 0:00,03/04/2025 0:00,02/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
CC67-0031,จ้างเหมาบริหารจัดการเครือข่ายสื่อสารข้อมูลและอินเทอร์เน็ต สำหรับให้บริการแก่ กรมการจัดหางาน ,"$9,565,800.00 ",ใบสั่งจ้างเลขที่ 3600006768,11/12/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0020,AD สผ 69,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA68-0002,HW-ซ่อมบำรุงและเพิ่มประสิทธิภาพการให้บริการ งบปี 69,"$89,000,000.00 ",,,,,,นำเสนอ/ติดตาม
SA67-0049,HW - Fiber Patch Cord ,"$20,972.00 ",ใบสั่งซื้อ 3290000180,11/10/2024 0:00,12/10/2024 0:00,30/11/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0056,MA HCI Data Center Consolidate68,"$2,500,000.00 ",19/2568,09/04/2025 0:00,10/04/2025 0:00,03/02/2026 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP68-0056,เดินสายสองเส้น,"$6,420.00 ",อว 64.12/1376,19/03/2025 0:00,20/03/2025 0:00,18/04/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0001,MA Network 68,"$11,950,000.00 ",43/2568,28/10/2024 0:00,29/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AP67-0072,งานย่อย 2 อาชีว,$0.00 ,,,,,,นำเสนอ/ติดตาม
AR68-0006,HW_Mobile App กรมอุตุนิยมวิทยา,$0.00 ,,,,,,นำเสนอ/ติดตาม
SA67-0020,HW-Wiring & AP กองบริหารวิชาการ,"$183,184.00 ",3116002249,23/08/2024 0:00,22/08/2024 0:00,21/10/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0045,HW Printer สหกรณ์ กสอ,"$39,600.00 ",AR68-0045,04/03/2025 0:00,05/03/2025 0:00,05/04/2025 0:00,,ได้งาน
SA67-0039,เช่าเครื่องคอมพิวเตอร์ พร้อมการดูแลรักษา 250 เครื่อง กำหนดระยะเวลา 1 เดือน ตั้งแต่ 1-30 พฤศจิกายน 2567,"$4,081,000.00 ",ใบสั่งซื้อเลขที่ 13/68,29/10/2024 0:00,30/10/2024 0:00,30/11/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
CC67-0078,งานปรับปรุงระบบเครือข่ายสายสัญญาณคอมพิวเตอร์ จำนวน 1 งาน ,"$42,800.00 ",ใบสั่งที่ 169/2567,11/06/2024 0:00,11/06/2024 0:00,10/07/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0019,สัญญาจ้างโครงการจ้างจัดหาโปรแกรมบริหารจัดการสำนักงานเพื่อรองรับการปฏิบัติราชการที่รองรับชีวิตและการทำงานวิถีใหม่ในมกอช.  ,$0.00 ,Sep-68,08/01/2025 0:00,09/01/2025 0:00,07/02/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ68-0009,ซ่อม Printer Brother HL L6200dw,"$4,066.00 ",ใบเสนอราคาเลขที่ PJ68-0009,03/04/2025 0:00,03/04/2025 0:00,02/05/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
NT68-0005,งานประชุมภายในบริษัท,$0.00 ,,,,,,ได้งาน
PJ67-0128,จัดทำและออกแบบโครงสร้างมาตรฐานข้อมูลคลังภาพ,"$450,000.00 ",ใบสั่งจ้างเลขที่ ศสส.จ23/68,25/12/2024 0:00,26/12/2024 0:00,24/01/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
CC67-0088,งานจ้างเหมาระบบรักษาความปลอดภัยระบบเครือข่าย สำหรับให้บริการแก่สำนักงานคณะกรรมการกำกับกิจการพลังงาน,"$789,660.00 ",เลขที่ใบสั่งจ้าง 4600125025,04/09/2024 0:00,05/09/2024 0:00,30/04/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
PJ67-0032,งานจ้างซ่อมแผงวงจรเครื่องคอมพิวเตอร์แม่ข่ายชนิด Blade ยี่ห้อ Dell รุ่น PowerEdge M630 Blade Server หมายเลขครุภัณฑ์ มกอช.5805-001-0008/006/59 (ศทส.) ,"$5,885.00 ",ใบสั่งจ้างเลขที่ 67/2567,28/02/2024 0:00,29/02/2024 0:00,29/03/2024 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR68-0048,HW ปรับปรุงเครือข่าย สอน,"$4,708,000.14 ",ใบสั่งซื้อเลขที่ PO25000065,21/04/2025 0:00,21/04/2025 0:00,20/06/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
AR67-0013,HW ปรับปรุงระบบเครือข่ายกรมกิจการผู้สูงอายุ 68 (Network),"$3,796,000.00 ",,,,,,นำเสนอ/ติดตาม
DT68-0011,งาน Research,$0.00 ,,,,,,ได้งาน
AR68-0030,กล้องวงจรปิด กสอ,"$4,779,600.00 ",,,,,,นำเสนอ/ติดตาม
SA67-0003,Rent_NEDNet งบป 68,"$13,619,100.00 ",Sep-68,20/11/2024 0:00,01/10/2024 0:00,30/09/2025 0:00,,ได้งาน/เซ็นสัญญาแล้ว
